episode,step,reward
0,1,0.485880
0,2,0.500261
0,3,0.477620
0,4,0.513957
0,5,0.465547
0,6,0.491540
0,7,0.432046
0,8,0.525622
0,9,0.506560
0,10,0.493637
0,11,0.462221
0,12,0.513768
0,13,0.466446
0,14,0.525622
0,15,0.504584
1,1,0.492297
1,2,0.537742
1,3,0.523275
1,4,0.520664
1,5,0.508662
1,6,0.557856
1,7,0.455337
1,8,0.344595
1,9,0.468514
1,10,0.491610
1,11,0.453203
1,12,0.498402
1,13,0.439490
1,14,0.426354
1,15,0.469703
2,1,0.475437
2,2,0.490701
2,3,0.519911
2,4,0.483096
2,5,0.516086
2,6,0.511715
2,7,0.516519
2,8,0.541276
2,9,0.542460
2,10,0.534581
2,11,0.557487
2,12,0.533808
2,13,0.555135
2,14,0.527129
2,15,0.533935
3,1,0.521222
3,2,0.548908
3,3,0.534009
3,4,0.537898
3,5,0.537213
3,6,0.455284
3,7,0.493554
3,8,0.510470
3,9,0.573227
3,10,0.529533
3,11,0.521776
3,12,0.567857
3,13,0.460178
3,14,0.476059
3,15,0.463082
4,1,0.475397
4,2,0.458909
4,3,0.448606
4,4,0.439539
4,5,0.454279
4,6,0.432165
4,7,0.435024
4,8,0.446933
4,9,0.491833
4,10,0.464209
4,11,0.486625
4,12,0.504802
4,13,0.493352
4,14,0.517164
4,15,0.458592
5,1,0.484940
5,2,0.533703
5,3,0.486050
5,4,0.443250
5,5,0.477886
5,6,0.506369
5,7,0.482723
5,8,0.525622
5,9,0.505404
5,10,0.464046
5,11,0.441509
5,12,0.574110
5,13,0.463211
5,14,0.481361
5,15,0.485729
6,1,0.507952
6,2,0.485762
6,3,0.483044
6,4,0.470935
6,5,0.438768
6,6,0.554858
6,7,0.440187
6,8,0.453680
6,9,0.520477
6,10,0.455204
6,11,0.511180
6,12,0.512947
6,13,0.530688
6,14,0.496858
6,15,0.459471
7,1,0.452356
7,2,0.440360
7,3,0.443143
7,4,0.481876
7,5,0.467446
7,6,0.456539
7,7,0.457622
7,8,0.478887
7,9,0.447721
7,10,0.532282
7,11,0.549805
7,12,0.467468
7,13,0.497013
7,14,0.466875
7,15,0.515721
8,1,0.511014
8,2,0.470946
8,3,0.490563
8,4,0.514814
8,5,0.456086
8,6,0.460235
8,7,0.508559
8,8,0.421292
8,9,0.448221
8,10,0.489005
8,11,0.535135
8,12,0.529404
8,13,0.531964
8,14,0.533703
8,15,0.479597
9,1,0.523832
9,2,0.540846
9,3,0.484219
9,4,0.467158
9,5,0.477921
9,6,0.531996
9,7,0.549235
9,8,0.463023
9,9,0.475407
9,10,0.485428
9,11,0.511217
9,12,0.462471
9,13,0.450121
9,14,0.405085
9,15,0.475559
10,1,0.452675
10,2,0.499687
10,3,0.464246
10,4,0.510768
10,5,0.471671
10,6,0.468038
10,7,0.497965
10,8,0.535752
10,9,0.445455
10,10,0.530669
10,11,0.443337
10,12,0.424405
10,13,0.411744
10,14,0.484274
10,15,0.502802
11,1,0.460145
11,2,0.544948
11,3,0.456752
11,4,0.507073
11,5,0.464004
11,6,0.453469
11,7,0.505324
11,8,0.549866
11,9,0.547988
11,10,0.512167
11,11,0.448507
11,12,0.492966
11,13,0.450901
11,14,0.499352
11,15,0.492209
12,1,0.488605
12,2,0.456287
12,3,0.502595
12,4,0.479057
12,5,0.499727
12,6,0.460981
12,7,0.344733
12,8,0.473400
12,9,0.574110
12,10,0.461928
12,11,0.501691
12,12,0.540846
12,13,0.494081
12,14,0.459644
12,15,0.451927
13,1,0.515477
13,2,0.490778
13,3,0.491357
13,4,0.574110
13,5,0.464451
13,6,0.554919
13,7,0.485899
13,8,0.513634
13,9,0.507669
13,10,0.495657
13,11,0.513183
13,12,0.526115
13,13,0.541097
13,14,0.497430
13,15,0.469079
14,1,0.493604
14,2,0.470364
14,3,0.434589
14,4,0.542752
14,5,0.467489
14,6,0.506369
14,7,0.485266
14,8,0.255200
14,9,0.533882
14,10,0.447318
14,11,0.456919
14,12,0.525421
14,13,0.455034
14,14,0.301604
14,15,0.437131
15,1,0.503536
15,2,0.512543
15,3,0.476155
15,4,0.313189
15,5,0.533704
15,6,0.453502
15,7,0.521767
15,8,0.516843
15,9,0.459546
15,10,0.467158
15,11,0.364309
15,12,0.485805
15,13,0.508629
15,14,0.479998
15,15,0.458071
16,1,0.497922
16,2,0.524938
16,3,0.574110
16,4,0.523507
16,5,0.217294
16,6,0.479764
16,7,0.509163
16,8,0.460914
16,9,0.499687
16,10,0.470431
16,11,0.435089
16,12,0.458048
16,13,0.314447
16,14,0.485053
16,15,0.446165
17,1,0.484157
17,2,0.473346
17,3,0.435400
17,4,0.500525
17,5,0.467500
17,6,0.405085
17,7,0.462092
17,8,0.439149
17,9,0.311950
17,10,0.506369
17,11,0.520477
17,12,0.498445
17,13,0.476249
17,14,0.511880
17,15,0.553196
18,1,0.473124
18,2,0.488926
18,3,0.217294
18,4,0.505338
18,5,0.520813
18,6,0.471900
18,7,0.550086
18,8,0.533020
18,9,0.474496
18,10,0.547988
18,11,0.306039
18,12,0.474471
18,13,0.574110
18,14,0.522955
18,15,0.534607
19,1,0.489100
19,2,0.438214
19,3,0.498501
19,4,0.459168
19,5,0.491894
19,6,0.482985
19,7,0.502630
19,8,0.493297
19,9,0.543152
19,10,0.361866
19,11,0.405085
19,12,0.517321
19,13,0.498624
19,14,0.217795
19,15,0.492966
20,1,0.453159
20,2,0.459310
20,3,0.500261
20,4,0.475972
20,5,0.456994
20,6,0.481344
20,7,0.548730
20,8,0.549866
20,9,0.523035
20,10,0.491392
20,11,0.547517
20,12,0.472535
20,13,0.455955
20,14,0.473996
20,15,0.506117
21,1,0.447379
21,2,0.480888
21,3,0.478736
21,4,0.450862
21,5,0.429682
21,6,0.574110
21,7,0.463074
21,8,0.527474
21,9,0.473002
21,10,0.506117
21,11,0.477882
21,12,0.496343
21,13,0.439357
21,14,0.496497
21,15,0.457620
22,1,0.479866
22,2,0.493193
22,3,0.533703
22,4,0.503337
22,5,0.449614
22,6,0.464246
22,7,0.477056
22,8,0.574110
22,9,0.529301
22,10,0.515823
22,11,0.541384
22,12,0.493825
22,13,0.491869
22,14,0.524679
22,15,0.500734
23,1,0.574110
23,2,0.465417
23,3,0.483108
23,4,0.464175
23,5,0.486415
23,6,0.339133
23,7,0.451927
23,8,0.432540
23,9,0.481535
23,10,0.519184
23,11,0.535642
23,12,0.543924
23,13,0.519526
23,14,0.311702
23,15,0.311119
24,1,0.504123
24,2,0.517321
24,3,0.487633
24,4,0.540846
24,5,0.502064
24,6,0.513335
24,7,0.452414
24,8,0.528779
24,9,0.576875
24,10,0.457302
24,11,0.468613
24,12,0.521767
24,13,0.451974
24,14,0.465485
24,15,0.520909
25,1,0.525230
25,2,0.531267
25,3,0.493637
25,4,0.522649
25,5,0.559329
25,6,0.435590
25,7,0.462623
25,8,0.441820
25,9,0.439651
25,10,0.252368
25,11,0.510256
25,12,0.435590
25,13,0.474284
25,14,0.000000
25,15,0.483108
26,1,0.547810
26,2,0.529856
26,3,0.533703
26,4,0.458120
26,5,0.466679
26,6,0.499267
26,7,0.464451
26,8,0.552609
26,9,0.511499
26,10,0.549866
26,11,0.510703
26,12,0.537930
26,13,0.521663
26,14,0.511027
26,15,0.438214
27,1,0.456319
27,2,0.495545
27,3,0.515102
27,4,0.310991
27,5,0.457273
27,6,0.515888
27,7,0.503381
27,8,0.426354
27,9,0.480519
27,10,0.503170
27,11,0.494131
27,12,0.446448
27,13,0.482833
27,14,0.487626
27,15,0.446879
28,1,0.479498
28,2,0.477852
28,3,0.481788
28,4,0.557795
28,5,0.532156
28,6,0.541099
28,7,0.492014
28,8,0.579136
28,9,0.534569
28,10,0.525110
28,11,0.447282
28,12,0.502064
28,13,0.437995
28,14,0.459563
28,15,0.578040
29,1,0.469548
29,2,0.513402
29,3,0.547988
29,4,0.439245
29,5,0.537327
29,6,0.483527
29,7,0.547988
29,8,0.249384
29,9,0.479102
29,10,0.495545
29,11,0.519717
29,12,0.504352
29,13,0.542126
29,14,0.574110
29,15,0.547988
30,1,0.481555
30,2,0.547988
30,3,0.327929
30,4,0.547988
30,5,0.498324
30,6,0.527214
30,7,0.521095
30,8,0.522955
30,9,0.498130
30,10,0.528786
30,11,0.537086
30,12,0.473121
30,13,0.517508
30,14,0.499683
30,15,0.461244
31,1,0.465849
31,2,0.486922
31,3,0.311424
31,4,0.496467
31,5,0.426527
31,6,0.492966
31,7,0.574110
31,8,0.531010
31,9,0.473018
31,10,0.535135
31,11,0.488479
31,12,0.457081
31,13,0.463548
31,14,0.466617
31,15,0.466792
32,1,0.466928
32,2,0.487323
32,3,0.503472
32,4,0.468074
32,5,0.470948
32,6,0.490557
32,7,0.514221
32,8,0.467553
32,9,0.459935
32,10,0.270057
32,11,0.464816
32,12,0.490399
32,13,0.465283
32,14,0.453459
32,15,0.544128
33,1,0.555818
33,2,0.531964
33,3,0.491406
33,4,0.474180
33,5,0.532282
33,6,0.533649
33,7,0.472434
33,8,0.453469
33,9,0.498513
33,10,0.488895
33,11,0.522994
33,12,0.498435
33,13,0.493874
33,14,0.434589
33,15,0.456984
34,1,0.397650
34,2,0.564999
34,3,0.532957
34,4,0.471833
34,5,0.427481
34,6,0.419837
34,7,0.501691
34,8,0.496160
34,9,0.545566
34,10,0.490833
34,11,0.217294
34,12,0.440108
34,13,0.463451
34,14,0.411744
34,15,0.493352
35,1,0.494540
35,2,0.492513
35,3,0.487543
35,4,0.519271
35,5,0.526467
35,6,0.472804
35,7,0.430471
35,8,0.491204
35,9,0.448606
35,10,0.397650
35,11,0.582009
35,12,0.549109
35,13,0.528861
35,14,0.523449
35,15,0.443033
36,1,0.490420
36,2,0.489519
36,3,0.513186
36,4,0.486628
36,5,0.510087
36,6,0.523149
36,7,0.469356
36,8,0.547988
36,9,0.467157
36,10,0.488926
36,11,0.546789
36,12,0.456199
36,13,0.460358
36,14,0.537327
36,15,0.435590
37,1,0.471833
37,2,0.585922
37,3,0.306415
37,4,0.505720
37,5,0.499267
37,6,0.434589
37,7,0.489446
37,8,0.477071
37,9,0.451030
37,10,0.555991
37,11,0.549866
37,12,0.471050
37,13,0.513297
37,14,0.435590
37,15,0.486285
38,1,0.463444
38,2,0.486205
38,3,0.434589
38,4,0.468074
38,5,0.474646
38,6,0.486431
